timestamp,path,aliases,reference
1447597551,libavcodec/smacker.c,,CVE-2015-8365
1448399856,libavcodec/h264_slice.c,,CVE-2015-8661
1448654366,libavcodec/jpeg2000dwt.c,,CVE-2015-8662
1448737851,libavcodec/utils.c,,CVE-2015-8663
1452625034,libavformat/asfenc.c,libavformat/asf-enc.c,CVE-2016-2326
1452727080,libavformat/hls.c,libavformat/applehttp.c,CVE-2016-1897
1452727080,libavformat/hls.c,libavformat/applehttp.c,CVE-2016-1898
1452825523,libavcodec/pngenc.c,,CVE-2016-2327
1452825523,libavcodec/pngenc.c,,CVE-2016-2327
1452863481,libavformat/hls.c,libavformat/applehttp.c,CVE-2016-1897
1452863481,libavformat/hls.c,libavformat/applehttp.c,CVE-2016-1898
1452868162,libavformat/hls.c,libavformat/applehttp.c,CVE-2016-1897
1452868162,libavformat/hls.c,libavformat/applehttp.c,CVE-2016-1898
1452989983,libswscale/swscale_unscaled.c,,CVE-2016-2328
1452989983,libswscale/swscale_unscaled.c,,CVE-2016-2328
1453085460,libavcodec/tiff.c,,CVE-2016-2329
1453143397,libavcodec/gif.c,,CVE-2016-2330
1453911480,libavcodec/jpeg2000dec.c,,CVE-2016-2213
1463609992,libavcodec/h264.c,,CVE-2017-1000460
1467153055,libavformat/mov.c,libav/mov.c,CVE-2016-6164
1470674227,libavcodec/rawdec.c,,CVE-2016-6671
1471597202,libavformat/swfdec.c,,CVE-2016-6881
1472085659,libavcodec/exr.c,,CVE-2016-6920
1472817460,libavformat/avidec.c,libav/avidec.c,CVE-2016-7122
1473327344,libavformat/mov.c,libav/mov.c,CVE-2016-5199
1473861007,libavcodec/g726.c,,CVE-2016-7450
1474647498,libavcodec/cavsdsp.c,,CVE-2016-7502
1474823211,libavformat/avidec.c,libav/avidec.c,CVE-2016-7555
1474918937,libavcodec/ansi.c,,CVE-2016-7562
1475073984,libavformat/avidec.c,libav/avidec.c,CVE-2016-7785
1475073984,libavformat/avidec.c,libav/avidec.c,CVE-2016-7905
1476053896,libavformat/utils.c,libav/utils.c,CVE-2016-8595
1480969812,libavformat/rtmppkt.c,,CVE-2016-10191
1480969812,ffserver.c,,CVE-2016-10192
1480972510,libavformat/http.c,libav/http.c,CVE-2016-10190
1485132215,libavcodec/pngdec.c,,CVE-2017-7866
1486499528,libavcodec/pictordec.c,,CVE-2017-7862
1486521061,libavformat/mov.c,libav/mov.c,CVE-2017-5025
1486522630,libavformat/mov.c,libav/mov.c,CVE-2017-5024
1494009775,libavcodec/dfa.c,,CVE-2017-9992
1494105819,libavcodec/cdxl.c,,CVE-2017-9996
1494178353,libavcodec/xwddec.c,,CVE-2017-9991
1494239409,libavcodec/cdxl.c,,CVE-2017-9996
1494449555,libavcodec/vp8.c,,CVE-2017-9994
1494449555,libavcodec/webp.c,,CVE-2017-9994
1494510668,libavcodec/scpr.c,,CVE-2017-9995
1494625083,libavcodec/xpmdec.c,,CVE-2017-9990
1494683673,libavcodec/scpr.c,,CVE-2017-9995
1496190762,libavformat/avidec.c,libav/avidec.c,CVE-2017-9993
1496663701,libavformat/hls.c,libavformat/applehttp.c,CVE-2017-9993
1497565290,libavcodec/dnxhd_parser.c,,CVE-2017-9608
