path,cve
usr.sbin/httpd/src/main/http_log.c,3.5_013
usr.sbin/httpd/src/main/http_protocol.c,3.5_013
usr.sbin/httpd/src/main/util.c,3.5_013
usr.sbin/httpd/src/modules/proxy/proxy_http.c,3.5_013
usr.sbin/httpd/src/modules/ssl/mod_ssl.h,3.5_013
usr.sbin/httpd/src/modules/ssl/ssl_engine_kernel.c,3.5_013
usr.sbin/httpd/src/modules/ssl/ssl_engine_rand.c,3.5_013
usr.sbin/httpd/src/modules/ssl/ssl_util.c,3.5_013
usr.sbin/httpd/src/modules/standard/mod_digest.c,3.5_013
gnu/usr.bin/cvs/src/client.c,3.5_002
gnu/usr.bin/cvs/src/modules.c,3.5_002
xc/extras/Xpm/lib/Attrib.c,3.5_019
xc/extras/Xpm/lib/CrDatFrI.c,3.5_019
xc/extras/Xpm/lib/WrFFrI.c,3.5_019
xc/extras/Xpm/lib/XpmI.h,3.5_019
xc/extras/Xpm/lib/create.c,3.5_019
xc/extras/Xpm/lib/data.c,3.5_019
xc/extras/Xpm/lib/hashtab.c,3.5_019
xc/extras/Xpm/lib/parse.c,3.5_019
xc/extras/Xpm/lib/scan.c,3.5_019
xc/lib/Xpm/Imakefile,3.5_019
kerberosV/src/kdc/config.c,3.5_009
kerberosV/src/kdc/kdc.8,3.5_009
kerberosV/src/kdc/kdc_locl.h,3.5_009
kerberosV/src/kdc/kerberos5.c,3.5_009
kerberosV/src/lib/krb5/krb5-protos.h,3.5_009
kerberosV/src/lib/krb5/rd_req.c,3.5_009
kerberosV/src/lib/krb5/transited.c,3.5_009
usr.sbin/httpd/src/modules/standard/mod_include.c,3.5_026
usr.sbin/httpd/src/modules/standard/mod_rewrite.c,3.5_018
sys/miscfs/procfs/procfs_cmdline.c,3.5_006
sys/miscfs/procfs/procfs_fpregs.c,3.5_006
sys/miscfs/procfs/procfs_linux.c,3.5_006
sys/miscfs/procfs/procfs_regs.c,3.5_006
sys/miscfs/procfs/procfs_status.c,3.5_006
sys/miscfs/procfs/procfs_subr.c,3.5_006
gnu/usr.bin/cvs/src/login.c,3.5_033
gnu/usr.bin/cvs/src/patch.c,3.5_033
gnu/usr.bin/cvs/src/rcs.c,3.5_033
socket.c,3.5_008
sys/arch/amd64/amd64/copy.S,3.5_029
usr.bin/telnet/authenc.c,3.5_031
usr.bin/telnet/commands.c,3.5_031
usr.bin/telnet/externs.h,3.5_031
usr.bin/telnet/telnet.c,3.5_031
usr.bin/ssh/channels.c,4.2_011
usr.bin/ssh/session.c,4.2_010
xserver/Xext/security.c,4.2_012
xserver/Xext/shm.c,4.2_012
xserver/record/record.c,4.2_012
xserver/render/glyph.c,4.2_012
xserver/render/render.c,4.2_012
sys/netinet6/in6.c,4.2_015
sys/netinet6/in6_var.h,4.2_015
sys/netinet6/nd6_nbr.c,4.2_015
usr.sbin/bind/README.OpenBSD,4.2_013
usr.sbin/bind/bin/named/server.c,4.2_013
usr.sbin/bind/lib/dns/dispatch.c,4.2_013
usr.sbin/bind/lib/dns/resolver.c,4.2_013
usr.sbin/bind/lib/dns/rootns.c,4.2_013
usr.sbin/bind/lib/dns/include/dns/dispatch.h,4.2_013
usr.sbin/bind/lib/isc/Makefile.in,4.2_013
usr.sbin/bind/lib/isc/random.c,4.2_013
usr.sbin/bind/lib/isc/shuffle.c,4.2_013
usr.sbin/bind/lib/isc/include/isc/random.h,4.2_013
usr.sbin/bind/lib/isc/include/isc/shuffle.h,4.2_013
usr.sbin/bind/lib/isc/unix/app.c,4.2_013
usr.sbin/bind/lib/isc/unix/privsep.c,4.2_013
usr.sbin/bind/lib/isc/unix/socket.c,4.2_013
usr.sbin/bind/lib/isc/unix/socket_p.h,4.2_013
lib/libssl/src/ssl/ssl_lib.c,4.2_002
usr.sbin/ppp/ppp/command.c,4.2_009
usr.sbin/ppp/ppp/systems.c,4.2_009
usr.sbin/ppp/ppp/systems.h,4.2_009
lib/libXfont/src/bitmap/pcfread.c,4.2_006
xserver/Xext/EVI.c,4.2_006
xserver/Xext/cup.c,4.2_006
xserver/Xext/sampleEVI.c,4.2_006
xserver/Xext/security.c,4.2_006
xserver/Xext/shm.c,4.2_006
xserver/Xi/chgfctl.c,4.2_006
xserver/Xi/chgkmap.c,4.2_006
xserver/Xi/chgprop.c,4.2_006
xserver/Xi/grabdev.c,4.2_006
xserver/Xi/grabdevb.c,4.2_006
xserver/Xi/grabdevk.c,4.2_006
xserver/Xi/selectev.c,4.2_006
xserver/Xi/sendexev.c,4.2_006
xserver/dix/dixfonts.c,4.2_006
xserver/hw/xfree86/common/xf86MiscExt.c,4.2_006
usr.sbin/dhcpd/options.c,4.2_001
gnu/usr.bin/perl/cpan/Archive-Tar/lib/Archive/Tar.pm,6.3_011
lib/libcrypto/dsa/dsa_ossl.c,6.3_022
lib/libcrypto/ecdsa/ecs_ossl.c,6.3_022
xserver/hw/xfree86/common/xf86Init.c,6.3_020
sys/arch/amd64/amd64/acpi_machdep.c,6.3_010
sys/arch/amd64/amd64/acpi_wakecode.S,6.3_010
sys/arch/amd64/amd64/aesni.c,6.3_010
sys/arch/amd64/amd64/autoconf.c,6.3_010
sys/arch/amd64/amd64/cpu.c,6.3_010
sys/arch/amd64/amd64/db_interface.c,6.3_010
sys/arch/amd64/amd64/fpu.c,6.3_010
sys/arch/amd64/amd64/genassym.cf,6.3_010
sys/arch/amd64/amd64/identcpu.c,6.3_010
sys/arch/amd64/amd64/ipifuncs.c,6.3_010
sys/arch/amd64/amd64/locore.S,6.3_010
sys/arch/amd64/amd64/locore0.S,6.3_010
sys/arch/amd64/amd64/machdep.c,6.3_010
sys/arch/amd64/amd64/mptramp.S,6.3_010
sys/arch/amd64/amd64/process_machdep.c,6.3_010
sys/arch/amd64/amd64/spl.S,6.3_010
sys/arch/amd64/amd64/trap.c,6.3_010
sys/arch/amd64/amd64/vector.S,6.3_010
sys/arch/amd64/amd64/via.c,6.3_010
sys/arch/amd64/amd64/vm_machdep.c,6.3_010
sys/arch/amd64/amd64/vmm.c,6.3_010
sys/arch/amd64/include/codepatch.h,6.3_010
sys/arch/amd64/include/cpu.h,6.3_010
sys/arch/amd64/include/fpu.h,6.3_010
